                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                 0.9924,                0.44972,                 0.8529,                0.98327,                0.94825,                0.98463,                0.77073,                0.83593,                0.41187,                0.85887,              0.0006338,              0.0006338,              0.0006338
                    141,                0.95089,                0.44075,                0.84211,                0.98328,                0.94878,                0.98565,                0.73118,                0.96301,                0.43942,                0.88021,              0.0006239,              0.0006239,              0.0006239
                    142,                 1.0019,                0.46635,                0.85186,                0.96768,                0.96591,                0.98603,                0.70445,                 1.0554,                0.46472,                0.89324,               0.000614,               0.000614,               0.000614
                    143,                  1.004,                0.46552,                 0.8454,                0.96819,                0.98198,                0.98656,                0.74671,                0.95996,                0.45083,                0.87546,              0.0006041,              0.0006041,              0.0006041
                    144,                0.93465,                0.45075,                0.84533,                0.96804,                0.98387,                 0.9872,                0.77289,                0.84157,                0.41313,                0.86149,              0.0005942,              0.0005942,              0.0005942
                    145,                0.96507,                0.43801,                0.85133,                0.98332,                 0.9507,                0.98761,                0.78266,                0.82631,                0.40076,                0.85746,              0.0005843,              0.0005843,              0.0005843
                    146,                0.90529,                0.41855,                0.83663,                0.98328,                0.94862,                0.98787,                0.78879,                0.82499,                0.39161,                0.85733,              0.0005744,              0.0005744,              0.0005744
                    147,                0.95564,                0.43097,                0.85611,                0.99879,                0.93548,                0.98801,                0.78853,                 0.8267,                0.39837,                0.85798,              0.0005645,              0.0005645,              0.0005645
                    148,                0.91695,                0.42776,                0.84548,                      1,                0.93482,                0.98832,                0.78967,                0.80527,                0.40345,                0.85121,              0.0005546,              0.0005546,              0.0005546
                    149,                0.92878,                0.43693,                0.85211,                      1,                0.93436,                0.98802,                0.80122,                0.80601,                 0.3918,                0.85287,              0.0005447,              0.0005447,              0.0005447
                    150,                0.94882,                0.43133,                0.84726,                0.96809,                0.97885,                0.98741,                0.78874,                0.82473,                0.39884,                0.85494,              0.0005348,              0.0005348,              0.0005348
                    151,                0.94676,                 0.4325,                0.84208,                0.96814,                0.98038,                0.98728,                0.75857,                0.89092,                0.41025,                0.86493,              0.0005249,              0.0005249,              0.0005249
